country_code,city,funding_total_usd,funding_rounds,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,company_count,Latitude,Longitude
USA,West Jordan,24037151,2,4001.0,0,24037151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40.6096698,-111.9391031
USA,West Kingston,100000,1,0.0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.48339620000001,-71.5532291
USA,West Lafayette,56629786,16,13940.0,177890,44971896,0,0,0,8100000,0,3380000,0,0,0,0,0,0,0,26000000,0,0,0,0,0,11,40.4258686,-86.90806549999998
USA,West Lake Hills,100000,1,0.0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.2979843,-97.8019515
USA,West Linn,250000,1,2010.0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45.3859859,-122.64008390000002
USA,West Los Angeles,19300009,4,2011.0,0,19300009,0,0,0,0,0,0,0,0,0,0,0,16800000,0,0,0,0,0,0,0,1,34.0412085,-118.442596
USA,West Newfield,662000,1,2008.0,0,662000,0,0,0,0,0,0,0,0,0,0,0,662000,0,0,0,0,0,0,0,1,43.6440169,-70.9244368
USA,West Nyack,1431003,1,2007.0,0,1431003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.096484999999994,-73.9729162
USA,West Palm Beach,153218984,36,28067.0,2320000,78386290,0,0,0,13182458,1000000,1140000,52190236,0,5000000,0,0,29420000,9700000,0,15000000,0,0,0,0,18,26.7153424,-80.0533746
USA,West Roxbury,1000000,3,4020.0,250000,500000,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42.2797554,-71.1626756
USA,West Sacramento,4656061,2,0.0,0,2156061,0,0,0,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38.5804609,-121.530234
USA,West Saint Paul,73000,1,2014.0,0,0,0,0,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.9160768,-93.1016074
USA,West Simsbury,1800052,6,2009.0,0,1300052,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.8731531,-72.85815490000002
USA,West Springfield,4000000,1,0.0,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.1070383,-72.6203675
USA,West University Place,800000,1,2011.0,0,0,0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.718007500000002,-95.4338292
USA,Westborough,1175631183,53,24031.0,50000,764711323,0,0,850000,2659860,0,252360000,155000000,0,0,0,0,75217024,101100000,223000000,110000000,145000000,10600000,0,0,17,42.269521600000004,-71.61612939999998
USA,Westbury,240000,1,2010.0,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.755656099999996,-73.5876273
USA,Westfield,13784396,6,8032.0,1350000,12400000,0,0,0,0,0,0,0,0,0,0,34396,10000000,0,0,0,0,0,0,0,4,40.6589912,-74.34737170000002
USA,Westford,235319743,32,16038.0,1454750,221915015,0,0,0,11949978,0,0,0,0,0,0,0,43000000,115500000,25700000,16000000,0,0,0,0,9,42.5792583,-71.4378411
USA,Westlake,28379000,9,4017.0,275000,28104000,0,0,0,0,0,0,0,0,0,0,0,6200000,10234000,0,0,0,0,0,0,4,41.4553232,-81.9179173
USA,Westlake Village,182552338,28,18055.0,0,153238190,0,7575000,520000,21219148,0,0,0,0,0,0,0,21675000,65300520,0,0,0,0,0,0,14,34.1466467,-118.8073729
USA,Westland,6200000,1,1998.0,0,6200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.32420399999999,-83.400211
